Date,Open,High,Low,Close,AdjClose,Volume
2022-05-20,1.2463,1.2497,1.2438,1.2494,1.2494,225
2022-05-22,1.2483,1.251,1.2476,1.2504,1.2504,73
2022-05-23,1.2504,1.2601,1.25,1.2567,1.2567,47
2022-05-24,1.2566,1.2599,1.2472,1.2542,1.2542,772
2022-05-25,1.2542,1.2595,1.2481,1.2586,1.2586,501
2022-05-26,1.2586,1.2621,1.2552,1.2617,1.2617,291
2022-05-27,1.2617,1.2617,1.2617,1.2617,1.2617,20
2022-05-29,1.2625,1.2637,1.2623,1.2625,1.2625,33
2022-05-30,1.2625,1.266,1.2616,1.2646,1.2646,86
2022-05-31,1.2646,1.2649,1.2561,1.261,1.261,694
2022-06-01,1.261,1.2617,1.2459,1.2484,1.2484,1217
2022-06-02,1.2484,1.2587,1.247,1.2579,1.2579,134
2022-06-03,1.2578,1.259,1.2486,1.2489,1.2489,756
2022-06-05,1.249,1.2503,1.2487,1.249,1.249,42
2022-06-06,1.2491,1.2578,1.2477,1.2524,1.2524,128
2022-06-07,1.2524,1.26,1.2431,1.2588,1.2588,761
2022-06-08,1.2588,1.2589,1.2516,1.2541,1.2541,593
2022-06-09,1.2541,1.2559,1.2487,1.2493,1.2493,451
2022-06-10,1.2493,1.2518,1.2301,1.2317,1.2317,1552
2022-06-12,1.2319,1.2326,1.2272,1.2277,1.2277,402
2022-06-13,1.2277,1.2301,1.2108,1.2143,1.2143,1401
2022-06-14,1.2143,1.2209,1.1934,1.2011,1.2011,1739
2022-06-15,1.2011,1.2205,1.199,1.2175,1.2175,199
2022-06-16,1.2175,1.2407,1.2041,1.2351,1.2351,1115
2022-06-17,1.2351,1.2351,1.2173,1.2221,1.2221,1458
2022-06-19,1.2225,1.2232,1.2208,1.2228,1.2228,152
2022-06-20,1.2228,1.2281,1.22,1.2248,1.2248,251
2022-06-21,1.2248,1.2325,1.2245,1.2264,1.2264,46
2022-06-22,1.2264,1.2315,1.2161,1.2253,1.2253,858
2022-06-23,1.2252,1.2295,1.217,1.226,1.226,692
2022-06-24,1.226,1.2321,1.2241,1.2276,1.2276,174
2022-06-26,1.2268,1.2297,1.2266,1.2283,1.2283,35
2022-06-27,1.2283,1.2333,1.2261,1.2267,1.2267,192
2022-06-28,1.2267,1.2292,1.2175,1.2188,1.2188,763
2022-06-29,1.2188,1.2214,1.2106,1.2129,1.2129,694
2022-06-30,1.2129,1.2189,1.2092,1.2161,1.2161,325
2022-07-01,1.2161,1.2162,1.1976,1.2102,1.2102,1540
2022-07-03,1.2103,1.2124,1.2098,1.21,1.21,56
2022-07-04,1.21,1.2165,1.2085,1.2114,1.2114,145
2022-07-05,1.2113,1.2126,1.1899,1.1952,1.1952,1791
2022-07-06,1.1951,1.199,1.1876,1.1922,1.1922,649
2022-07-07,1.1922,1.2034,1.1909,1.2029,1.2029,129
2022-07-08,1.2029,1.2056,1.192,1.2034,1.2034,928
2022-07-10,1.2018,1.202,1.1869,1.2017,1.2017,0
2022-07-11,1.201,1.2012,1.1867,1.1899,1.1899,1216
2022-07-12,1.1899,1.1916,1.1807,1.1878,1.1878,792
2022-07-13,1.1878,1.1968,1.1828,1.1864,1.1864,439
2022-07-14,1.1864,1.1885,1.176,1.1841,1.1841,896
2022-07-15,1.1841,1.1875,1.1805,1.1869,1.1869,326
2022-07-17,1.1869,1.1891,1.1863,1.189,1.189,69
2022-07-18,1.189,1.2034,1.1875,1.1949,1.1949,149
2022-07-19,1.1949,1.2046,1.1925,1.2003,1.2003,219
2022-07-20,1.2003,1.2038,1.1954,1.1968,1.1968,426
2022-07-21,1.1968,1.2005,1.189,1.1996,1.1996,669
2022-07-22,1.1996,1.2064,1.1917,1.2007,1.2007,676
2022-07-24,1.1992,1.1992,1.1985,1.1986,1.1986,72
2022-07-25,1.1986,1.2087,1.1961,1.2054,1.2054,228
2022-07-26,1.2054,1.209,1.1964,1.2036,1.2036,765
2022-07-27,1.2035,1.2186,1.2021,1.2162,1.2162,142
2022-07-28,1.2162,1.2192,1.2104,1.2173,1.2173,503
2022-07-29,1.2173,1.2246,1.2063,1.2181,1.2181,923
2022-07-31,1.2173,1.2179,1.2157,1.2168,1.2168,147
2022-08-01,1.2168,1.2294,1.2163,1.2257,1.2257,60
2022-08-02,1.2258,1.2279,1.2141,1.2144,1.2144,972
2022-08-03,1.2144,1.2208,1.21,1.2139,1.2139,381
2022-08-04,1.2142,1.2217,1.2066,1.2159,1.2159,644
2022-08-05,1.2159,1.2169,1.2004,1.2072,1.2072,1294
2022-08-07,1.2069,1.2072,1.2057,1.2061,1.2061,116
2022-08-08,1.2061,1.2138,1.2048,1.2086,1.2086,131
2022-08-09,1.2085,1.213,1.2063,1.2072,1.2072,202
2022-08-10,1.2072,1.2277,1.2065,1.221,1.221,73
2022-08-11,1.221,1.225,1.2183,1.2195,1.2195,248
2022-08-12,1.2195,1.2216,1.21,1.2138,1.2138,798
2022-08-14,1.2136,1.214,1.2127,1.2127,1.2127,97
2022-08-15,1.2127,1.2148,1.205,1.2057,1.2057,654
2022-08-16,1.2056,1.2118,1.2008,1.2095,1.2095,421
2022-08-17,1.2095,1.2144,1.2028,1.2046,1.2046,570
2022-08-18,1.2046,1.208,1.1923,1.1931,1.1931,1038
2022-08-19,1.1931,1.1934,1.1792,1.183,1.183,1183
2022-08-21,1.1823,1.1834,1.1811,1.1819,1.1819,119
2022-08-22,1.1819,1.1837,1.1742,1.1766,1.1766,669
2022-08-23,1.1766,1.1878,1.1718,1.183,1.183,428
2022-08-24,1.183,1.1836,1.1756,1.1791,1.1791,647
2022-08-25,1.1791,1.1864,1.1784,1.1823,1.1823,76
2022-08-26,1.1823,1.1901,1.1734,1.174,1.174,776
2022-08-28,1.1693,1.1693,1.1688,1.1689,1.1689,55
2022-08-29,1.1691,1.1744,1.1648,1.1722,1.1722,381
2022-08-30,1.1722,1.1761,1.1622,1.1659,1.1659,870
2022-08-31,1.1659,1.1694,1.1594,1.1597,1.1597,574
2022-09-01,1.1597,1.1617,1.1499,1.1547,1.1547,864
2022-09-02,1.1547,1.1589,1.1496,1.1515,1.1515,462
2022-09-04,1.1479,1.1521,1.1445,1.1475,1.1475,0
2022-09-05,1.1479,1.1567,1.1444,1.1565,1.1565,323
2022-09-06,1.1565,1.161,1.1495,1.1511,1.1511,624
2022-09-07,1.1511,1.1541,1.1405,1.1522,1.1522,934
2022-09-08,1.1522,1.1561,1.1461,1.152,1.152,556
